officename,pincode,officeType,Deliverystatus,divisionname,regionname,circlename,Taluk,Districtname,statename,Telephone,RelatedSuboffice,RelatedHeadoffice
Ambaripet B.O,504202,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Khanapur,Adilabad,TELANGANA,NA,Peddur S.O,Adilabad H.O
Andavelli B.O,504296,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Sirpur (t),Adilabad,TELANGANA,NA,Sirpur Khagaznagar S.O,Mancherial H.O
Andugulpet B.O,504231,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Luxettipet,Adilabad,TELANGANA,NA,Kalyani Khani S.O,Mancherial H.O
Andukur B.O,504109,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Nirmal,Adilabad,TELANGANA,NA,Kuntala S.O,Adilabad H.O
Angarajpally B.O,504201,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Chennur,Adilabad,TELANGANA,NA,Chinnoor S.O,Mancherial H.O
Ankhoda B.O,504299,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Kagaznagar,Adilabad,TELANGANA,NA,Sirpur (T) S.O,Mancherial H.O
Ankoli B.O,504002,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Adilabad,Adilabad,TELANGANA,NA,Dasnapur Colony  D.S.O,Adilabad H.O
Annaram B.O,504201,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Chennur,Adilabad,TELANGANA,NA,Chinnoor S.O,Mancherial H.O
Arepally B.O,504204,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Chennur,Adilabad,TELANGANA,NA,Bheemaram S.O,Mancherial H.O
Arli (T) B.O,504312,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Adilabad,Adilabad,TELANGANA,NA,Tamsi S.O,Adilabad H.O
Ashepally B.O,504313,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Utnoor,Adilabad,TELANGANA,NA,Jainoor S.O,Adilabad H.O
Ashta B.O,504101,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Mudhole,Adilabad,TELANGANA,NA,Basar S.O (Adilabad),Adilabad H.O
Asifabad S.O,504293,S.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Asifabad,Adilabad,TELANGANA,08733-279530,NA,Mancherial H.O
Asnad B.O,504201,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Chennur,Adilabad,TELANGANA,NA,Chinnoor S.O,Mancherial H.O
Awadam B.O,504204,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Chennur,Adilabad,TELANGANA,NA,Bheemaram S.O,Mancherial H.O
Babapur B.O,504293,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Asifabad,Adilabad,TELANGANA,NA,Asifabad S.O,Mancherial H.O
Babasagar B.O,504299,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Sirpur(t),Adilabad,TELANGANA,NA,Sirpur (T) S.O,Mancherial H.O
Badampally B.O,504205,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Luxettipet,Adilabad,TELANGANA,NA,Jannaram S.O,Mancherial H.O
Badankurthy B.O,504203,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,NA,Adilabad,TELANGANA,NA,Khanapur S.O (Adilabad),Adilabad H.O
Bambara B.O,504295,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Asifabad,Adilabad,TELANGANA,NA,Wankidi S.O,Mancherial H.O
Bangalpet B.O,504106,B.O,Non-Delivery,Adilabad,Hyderabad,Andhra Pradesh,Nirmal,Adilabad,TELANGANA,NA,Nirmal S.O (Adilabad),Adilabad H.O
Bansapalli B.O,504306,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Nirmal,Adilabad,TELANGANA,NA,Dilawarpur S.O,Adilabad H.O
Bapur B.O,504299,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Sirpur (t),Adilabad,TELANGANA,NA,Sirpur (T) S.O,Mancherial H.O
Bareguda B.O,504296,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Asifabad,Adilabad,TELANGANA,NA,Sirpur Khagaznagar S.O,Mancherial H.O
Basar S.O (Adilabad),504101,S.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Mudhole,Adilabad,TELANGANA,08752-243502,NA,Adilabad H.O
Bazar Hathnur B.O,504304,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Boath,Adilabad,TELANGANA,NA,Boath S.O,Adilabad H.O
Beernandi B.O,504203,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,NA,Adilabad,TELANGANA,NA,Khanapur S.O (Adilabad),Adilabad H.O
Bejjur B.O,504299,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Sirpur (t),Adilabad,TELANGANA,NA,Sirpur (T) S.O,Mancherial H.O
Bela B.O,504309,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Adilabad,Adilabad,TELANGANA,NA,Gumma S.O (Adilabad),Adilabad H.O
Bellalbadi B.O,504202,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Khanapur,Adilabad,TELANGANA,NA,Peddur S.O,Adilabad H.O
Bellampalli R.S. S.O,504251,S.O,Non-Delivery,Adilabad,Hyderabad,Andhra Pradesh,Bellampalle,Adilabad,TELANGANA,08735-222070,NA,Mancherial H.O
Bellampalli S.O,504251,S.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Bellampalle,Adilabad,TELANGANA,08735-222030,NA,Mancherial H.O
Beltharoda B.O,504103,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Mudhole,Adilabad,TELANGANA,NA,Bhainsa S.O (Adilabad),Adilabad H.O
Bhagyanagar S.O (Adilabad),504001,S.O,Non-Delivery,Adilabad,Hyderabad,Andhra Pradesh,Adilabad,Adilabad,TELANGANA,08732-232662,NA,Adilabad H.O
Bhainsa S.O (Adilabad),504103,S.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Mudhole,Adilabad,TELANGANA,08752-231013,NA,Adilabad H.O
Bharampur B.O,504308,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Adilabad,Adilabad,TELANGANA,NA,Gudihatnoor S.O,Adilabad H.O
Bheemaram S.O,504204,S.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Chennur,Adilabad,TELANGANA,08737-244030,NA,Mancherial H.O
Bheempur B.O,504311,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Utnoor,Adilabad,TELANGANA,NA,Ootnur S.O,Adilabad H.O
Bheemsari B.O,504002,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Adilabad,Adilabad,TELANGANA,NA,Dasnapur Colony  D.S.O,Adilabad H.O
Bhimini B.O,504273,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Asifabad,Adilabad,TELANGANA,NA,Rechini S.O,Mancherial H.O
Bholsa B.O,504103,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Mudhole,Adilabad,TELANGANA,NA,Bhainsa S.O (Adilabad),Adilabad H.O
Bhosi B.O,504103,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Mudhole,Adilabad,TELANGANA,NA,Bhainsa S.O (Adilabad),Adilabad H.O
Bhuktapur S.O,504001,S.O,Non-Delivery,Adilabad,Hyderabad,Andhra Pradesh,Adilabad,Adilabad,TELANGANA,08732-233035,NA,Adilabad H.O
Bhutai B.O,504304,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Boath,Adilabad,TELANGANA,NA,Boath S.O,Adilabad H.O
Bibra B.O,504273,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Asifabad,Adilabad,TELANGANA,NA,Rechini S.O,Mancherial H.O
Bidrelli B.O,504101,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Mudhole,Adilabad,TELANGANA,NA,Basar S.O (Adilabad),Adilabad H.O
Birsaipet B.O,504311,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Utnoor,Adilabad,TELANGANA,NA,Ootnur S.O,Adilabad H.O
Birvelli B.O,504306,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Nirmal,Adilabad,TELANGANA,NA,Dilawarpur S.O,Adilabad H.O
Boath S.O,504304,S.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Boath,Adilabad,TELANGANA,08751-245210,NA,Adilabad H.O
Bodepalli B.O,504273,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Asifabad,Adilabad,TELANGANA,NA,Rechini S.O,Mancherial H.O
Boregaon B.O,504101,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Mudhole,Adilabad,TELANGANA,NA,Basar S.O (Adilabad),Adilabad H.O
Boregaon B.O,504307,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Boath,Adilabad,TELANGANA,NA,Echoda S.O,Adilabad H.O
Borigaon B.O,504110,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Nirmal,Adilabad,TELANGANA,NA,Chincholi (B) S.O,Adilabad H.O
Boyapalli B.O,504272,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Asifabad,Adilabad,TELANGANA,NA,Tandur (A) S.O,Mancherial H.O
Brahmangaon B.O,504101,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Mudhole,Adilabad,TELANGANA,NA,Basar S.O (Adilabad),Adilabad H.O
Budakalan B.O,504251,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Luxettipet,Adilabad,TELANGANA,NA,Bellampalli S.O,Mancherial H.O
Budakurd B.O,504251,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Luxettipet,Adilabad,TELANGANA,NA,Bellampalli S.O,Mancherial H.O
Buggaram B.O,504323,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Neradigonda,Adilabad,TELANGANA,NA,Neradigonda S.O,Adilabad H.O
Burguda B.O,504293,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Asifabad,Adilabad,TELANGANA,NA,Asifabad S.O,Mancherial H.O
Chakepalli B.O,504272,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Asifabad,Adilabad,TELANGANA,NA,Tandur (A) S.O,Mancherial H.O
Chanda (T) B.O,504002,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Adilabad,Adilabad,TELANGANA,NA,Dasnapur Colony  D.S.O,Adilabad H.O
Chandaram B.O,504215,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Luxettipet,Adilabad,TELANGANA,NA,Luxettipet S.O,Mancherial H.O
Chandur B.O,504311,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Utnoor,Adilabad,TELANGANA,NA,Ootnur S.O,Adilabad H.O
Chaprala B.O,504309,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Adilabad,Adilabad,TELANGANA,NA,Gumma S.O (Adilabad),Adilabad H.O
Chata B.O,504103,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Kubeer,Adilabad,TELANGANA,NA,Bhainsa S.O (Adilabad),Adilabad H.O
Chedwai B.O,504296,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Sirpur (t),Adilabad,TELANGANA,NA,Sirpur Khagaznagar S.O,Mancherial H.O
Chichdhari Khanapur B.O,504346,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Utnoor,Adilabad,TELANGANA,NA,Indervelli S.O,Adilabad H.O
Chichondi B.O,504103,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Mudhole,Adilabad,TELANGANA,NA,Bhainsa S.O (Adilabad),Adilabad H.O
Chincholi (B) S.O,504110,S.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Nirmal,Adilabad,TELANGANA,08734-256173,NA,Adilabad H.O
Chinchughat B.O,504002,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Adilabad,Adilabad,TELANGANA,NA,Dasnapur Colony  D.S.O,Adilabad H.O
Chinnoor S.O,504201,S.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Chennoor,Adilabad,TELANGANA,08737-241230,NA,Mancherial H.O
Chintaguda B.O,504296,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Sirpur (t),Adilabad,TELANGANA,NA,Sirpur Khagaznagar S.O,Mancherial H.O
Chintaguda B.O,504205,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Luxettipet,Adilabad,TELANGANA,NA,Jannaram S.O,Mancherial H.O
Chintakunta B.O,504299,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Sirpur (t),Adilabad,TELANGANA,NA,Sirpur (T) S.O,Mancherial H.O
Chintalamanepalli B.O,504299,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Sirpur (t),Adilabad,TELANGANA,NA,Sirpur (T) S.O,Mancherial H.O
Chintalbori B.O,504304,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Boath,Adilabad,TELANGANA,NA,Boath S.O,Adilabad H.O
Chintalchanda B.O,504310,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Nirmal,Adilabad,TELANGANA,NA,Mamda S.O,Adilabad H.O
Chirrakunta S.O,504294,S.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Asifabad,Adilabad,TELANGANA,08733-278635,NA,Mancherial H.O
Chityal B.O,504306,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Nirmal,Adilabad,TELANGANA,NA,Dilawarpur S.O,Adilabad H.O
Chityal B.O,504202,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Kaddam (Peddur),Adilabad,TELANGANA,NA,Peddur S.O,Adilabad H.O
Chondi B.O,504103,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Mudhole,Adilabad,TELANGANA,NA,Bhainsa S.O (Adilabad),Adilabad H.O
Chorpalli B.O,504313,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Utnoor,Adilabad,TELANGANA,NA,Jainoor S.O,Adilabad H.O
Coal Chemical Complex S.O,504302,S.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Mancherial,Adilabad,TELANGANA,08736-239230,NA,Mancherial H.O
Cotton Market B.O,504002,B.O,Non-Delivery,Adilabad,Hyderabad,Andhra Pradesh,Adilabad,Adilabad,TELANGANA,NA,Dasnapur Colony  D.S.O,Adilabad H.O
Dabba B.O,504299,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Sirpur (t),Adilabad,TELANGANA,NA,Sirpur (T) S.O,Mancherial H.O
Dandepalli S.O,504206,S.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Luxettipet,Adilabad,TELANGANA,08739-249430,NA,Mancherial H.O
Dantanpalli B.O,504311,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Utnoor,Adilabad,TELANGANA,NA,Ootnur S.O,Adilabad H.O
Dasnapur B.O,504346,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Utnoor,Adilabad,TELANGANA,NA,Indervelli S.O,Adilabad H.O
Dasnapur Colony  D.S.O,504002,S.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Adilabad,Adilabad,TELANGANA,NA,NA,Adilabad H.O
Dasnapur Colony S.O,504001,S.O,Non-Delivery,Adilabad,Hyderabad,Andhra Pradesh,Adilabad,Adilabad,TELANGANA,08732-226772,NA,Adilabad H.O
Dasturabad B.O,504202,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Khanapur,Adilabad,TELANGANA,NA,Peddur S.O,Adilabad H.O
Deepaiguda B.O,504309,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Adilabad,Adilabad,TELANGANA,NA,Gumma S.O (Adilabad),Adilabad H.O
Dehgaon B.O,504304,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Boath,Adilabad,TELANGANA,NA,Boath S.O,Adilabad H.O
Dehgaon B.O,504273,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Asifabad,Adilabad,TELANGANA,NA,Rechini S.O,Mancherial H.O
Dehgaon B.O,504102,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Mudhole,Adilabad,TELANGANA,NA,Mudhole S.O,Adilabad H.O
Devaiguda B.O,504294,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Asifabad,Adilabad,TELANGANA,NA,Chirrakunta S.O,Mancherial H.O
Devapur B.O,504293,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Asifabad,Adilabad,TELANGANA,NA,Asifabad S.O,Mancherial H.O
Devapur B.O,504308,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Adilabad,Adilabad,TELANGANA,NA,Gudihatnoor S.O,Adilabad H.O
Devapur Cement Works S.O,504218,S.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Luxettipet,Adilabad,TELANGANA,08736-240530,NA,Mancherial H.O
Dewalwada B.O,504201,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Chennur,Adilabad,TELANGANA,NA,Chinnoor S.O,Mancherial H.O
Dhaba B.O,504311,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Utnoor,Adilabad,TELANGANA,NA,Ootnur S.O,Adilabad H.O
Dhaboli B.O,504313,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Utnoor,Adilabad,TELANGANA,NA,Jainoor S.O,Adilabad H.O
Dhani B.O,504110,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Nirmal,Adilabad,TELANGANA,NA,Chincholi (B) S.O,Adilabad H.O
Dhannoor B.O,504304,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Boath,Adilabad,TELANGANA,NA,Boath S.O,Adilabad H.O
Dhanora(B) B.O,504346,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Utnoor,Adilabad,TELANGANA,NA,Indervelli S.O,Adilabad H.O
Dharmaram B.O,504205,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Luxettipet,Adilabad,TELANGANA,NA,Jannaram S.O,Mancherial H.O
Dharmaraopet B.O,504231,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Luxettipet,Adilabad,TELANGANA,NA,Kalyani Khani S.O,Mancherial H.O
Dhorpalli B.O,504299,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Sirpur (t),Adilabad,TELANGANA,NA,Sirpur (T) S.O,Mancherial H.O
Dilawarpur B.O,504203,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,NA,Adilabad,TELANGANA,NA,Khanapur S.O (Adilabad),Adilabad H.O
Dilawarpur S.O,504306,S.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Nirmal,Adilabad,TELANGANA,08734-222826,NA,Adilabad H.O
Dimda B.O,504299,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Sirpur (t),Adilabad,TELANGANA,NA,Sirpur (T) S.O,Mancherial H.O
Dimmadurthy B.O,504310,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Nirmal,Adilabad,TELANGANA,NA,Mamda S.O,Adilabad H.O
Doderna B.O,504103,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Mudhole,Adilabad,TELANGANA,NA,Bhainsa S.O (Adilabad),Adilabad H.O
Donabanda S.O,504207,S.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Luxettipet,Adilabad,TELANGANA,08736-232028,NA,Mancherial H.O
Dowdepally B.O,504215,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Luxettipet,Adilabad,TELANGANA,NA,Luxettipet S.O,Mancherial H.O
Dugnepally B.O,504201,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Chennur,Adilabad,TELANGANA,NA,Chinnoor S.O,Mancherial H.O
Dwaraka B.O,504206,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Luxettipet,Adilabad,TELANGANA,NA,Dandepalli S.O,Mancherial H.O
Dwarakapur B.O,504272,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Asifabad,Adilabad,TELANGANA,NA,Tandur (A) S.O,Mancherial H.O
Easgaon - V B.O,504296,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Kagaznagar,Adilabad,TELANGANA,NA,Sirpur Khagaznagar S.O,Mancherial H.O
Easgaon Camp B.O,504296,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Sirpur (t),Adilabad,TELANGANA,NA,Sirpur Khagaznagar S.O,Mancherial H.O
Echoda S.O,504307,S.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Boath,Adilabad,TELANGANA,08751-251322,NA,Adilabad H.O
Elegaon B.O,504102,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Mudhole,Adilabad,TELANGANA,NA,Mudhole S.O,Adilabad H.O
Elvi B.O,504102,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Mudhole,Adilabad,TELANGANA,NA,Mudhole S.O,Adilabad H.O
Gadapur B.O,504209,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Luxettipet,Adilabad,TELANGANA,NA,Mancherial Cement Works S.O,Mancherial H.O
Gadchanda B.O,504104,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Nirmal,Adilabad,TELANGANA,NA,Narsapur S.O (Adilabad),Adilabad H.O
Gadiguda B.O,504311,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Utnoor,Adilabad,TELANGANA,NA,Ootnur S.O,Adilabad H.O
Gandhi Chowk S.O (Adilabad),504001,S.O,Non-Delivery,Adilabad,Hyderabad,Andhra Pradesh,Adilabad,Adilabad,TELANGANA,08732-222835,NA,Adilabad H.O
Gangapur B.O,504292,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Asifabad,Adilabad,TELANGANA,NA,Rebbena S.O,Mancherial H.O
Ghanpur B.O,504304,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Boath,Adilabad,TELANGANA,NA,Boath S.O,Adilabad H.O
Ghanpur B.O,504311,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Utnoor,Adilabad,TELANGANA,NA,Ootnur S.O,Adilabad H.O
Ghotkuri B.O,504309,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Adilabad,Adilabad,TELANGANA,NA,Gumma S.O (Adilabad),Adilabad H.O
Ginnedhari B.O,504297,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Asifabad,Adilabad,TELANGANA,NA,Tiryani S.O,Mancherial H.O
Ginnera B.O,504346,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Utnoor,Adilabad,TELANGANA,NA,Indervelli S.O,Adilabad H.O
Girjam B.O,504307,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Boath,Adilabad,TELANGANA,NA,Echoda S.O,Adilabad H.O
Girnoor B.O,504307,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Boath,Adilabad,TELANGANA,NA,Echoda S.O,Adilabad H.O
Girvelli B.O,504219,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Luxettipet,Adilabad,TELANGANA,NA,Nennel S.O,Mancherial H.O
Gokonda B.O,504304,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Boath,Adilabad,TELANGANA,NA,Boath S.O,Adilabad H.O
Gollakota B.O,504207,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Luxettipet,Adilabad,TELANGANA,NA,Donabanda S.O,Mancherial H.O
Golleti B.O,504292,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Asifabad,Adilabad,TELANGANA,NA,Rebbena S.O,Mancherial H.O
Gonedhanora B.O,504312,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Tamsi,Adilabad,TELANGANA,NA,Tamsi S.O,Adilabad H.O
Gopalpet B.O,504110,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Nirmal,Adilabad,TELANGANA,NA,Chincholi (B) S.O,Adilabad H.O
Gourapur B.O,504346,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Utnoor,Adilabad,TELANGANA,NA,Indervelli S.O,Adilabad H.O
Gowliguda B.O,504323,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Neradigonda,Adilabad,TELANGANA,NA,Neradigonda S.O,Adilabad H.O
Goyagaon B.O,504293,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Asifabad,Adilabad,TELANGANA,NA,Asifabad S.O,Mancherial H.O
Grain Market S.O (Adilabad),504208,S.O,Non-Delivery,Adilabad,Hyderabad,Andhra Pradesh,Mancherial,Adilabad,TELANGANA,08736-255546,NA,Mancherial H.O
Guda B.O,504309,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Adilabad,Adilabad,TELANGANA,NA,Gumma S.O (Adilabad),Adilabad H.O
Gudamamda B.O,504311,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Utnoor,Adilabad,TELANGANA,NA,Ootnur S.O,Adilabad H.O
Gudem B.O,504215,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Luxettipet,Adilabad,TELANGANA,NA,Luxettipet S.O,Mancherial H.O
Gudem B.O,504299,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Sirpur (t),Adilabad,TELANGANA,NA,Sirpur (T) S.O,Mancherial H.O
